route_id,trip_id,service_id,peak_offpeak,boarding_type
107_1,107_1_MD_2,FULLW,0,0
107_1,107_1_MD_20,FULLW,0,0
107_1,107_1_MD_21,FULLW,0,0
107_1,107_1_MD_22,FULLW,0,0
107_1,107_1_MD_23,FULLW,0,0
107_1,107_1_MD_24,FULLW,0,0
107_1,107_1_MD_25,FULLW,0,0
107_1,107_1_MD_26,FULLW,0,0
107_1,107_1_MD_27,FULLW,0,0
107_1,107_1_MD_28,FULLW,0,0
107_1,107_1_MD_29,FULLW,0,0
107_1,107_1_MD_3,FULLW,0,0
107_1,107_1_MD_4,FULLW,0,0
107_1,107_1_MD_5,FULLW,0,0
107_1,107_1_MD_6,FULLW,0,0
107_1,107_1_MD_7,FULLW,0,0
107_1,107_1_MD_8,FULLW,0,0
107_1,107_1_MD_9,FULLW,0,0
107_2,107_2_MD_1,FULLW,0,0
107_2,107_2_MD_10,FULLW,0,0
107_2,107_2_MD_11,FULLW,0,0
107_2,107_2_MD_12,FULLW,0,0
107_2,107_2_MD_13,FULLW,0,0
107_2,107_2_MD_14,FULLW,0,0
107_2,107_2_MD_15,FULLW,0,0
107_2,107_2_MD_16,FULLW,0,0
107_2,107_2_MD_17,FULLW,0,0
107_2,107_2_MD_18,FULLW,0,0
107_2,107_2_MD_19,FULLW,0,0
107_2,107_2_MD_2,FULLW,0,0
107_2,107_2_MD_20,FULLW,0,0
107_2,107_2_MD_21,FULLW,0,0
107_2,107_2_MD_22,FULLW,0,0
107_2,107_2_MD_23,FULLW,0,0
107_2,107_2_MD_24,FULLW,0,0
107_2,107_2_MD_25,FULLW,0,0
107_2,107_2_MD_26,FULLW,0,0
107_2,107_2_MD_27,FULLW,0,0
107_2,107_2_MD_28,FULLW,0,0
107_2,107_2_MD_29,FULLW,0,0
107_2,107_2_MD_3,FULLW,0,0
107_2,107_2_MD_4,FULLW,0,0
107_2,107_2_MD_5,FULLW,0,0
107_2,107_2_MD_6,FULLW,0,0
107_2,107_2_MD_7,FULLW,0,0
107_2,107_2_MD_8,FULLW,0,0
107_2,107_2_MD_9,FULLW,0,0
12_1,12_1_MD_1,FULLW,0,0
12_1,12_1_MD_10,FULLW,0,0
12_1,12_1_MD_11,FULLW,0,0
12_1,12_1_MD_12,FULLW,0,0
12_1,12_1_MD_13,FULLW,0,0
12_1,12_1_MD_14,FULLW,0,0
12_1,12_1_MD_15,FULLW,0,0
12_1,12_1_MD_16,FULLW,0,0
12_1,12_1_MD_17,FULLW,0,0
12_1,12_1_MD_18,FULLW,0,0
12_1,12_1_MD_19,FULLW,0,0
12_1,12_1_MD_2,FULLW,0,0
12_1,12_1_MD_20,FULLW,0,0
12_1,12_1_MD_21,FULLW,0,0
12_1,12_1_MD_22,FULLW,0,0
12_1,12_1_MD_23,FULLW,0,0
12_1,12_1_MD_24,FULLW,0,0
12_1,12_1_MD_25,FULLW,0,0
12_1,12_1_MD_26,FULLW,0,0
12_1,12_1_MD_27,FULLW,0,0
12_1,12_1_MD_28,FULLW,0,0
12_1,12_1_MD_29,FULLW,0,0
12_1,12_1_MD_3,FULLW,0,0
12_1,12_1_MD_30,FULLW,0,0
12_1,12_1_MD_31,FULLW,0,0
12_1,12_1_MD_32,FULLW,0,0
12_1,12_1_MD_33,FULLW,0,0
12_1,12_1_MD_34,FULLW,0,0
12_1,12_1_MD_35,FULLW,0,0
12_1,12_1_MD_36,FULLW,0,0
12_1,12_1_MD_4,FULLW,0,0
12_1,12_1_MD_5,FULLW,0,0
12_1,12_1_MD_6,FULLW,0,0
12_1,12_1_MD_7,FULLW,0,0
12_1,12_1_MD_8,FULLW,0,0
12_1,12_1_MD_9,FULLW,0,0
12_2,12_2_MD_1,FULLW,0,0
12_2,12_2_MD_10,FULLW,0,0
12_2,12_2_MD_11,FULLW,0,0
12_2,12_2_MD_12,FULLW,0,0
12_2,12_2_MD_13,FULLW,0,0
12_2,12_2_MD_14,FULLW,0,0
12_2,12_2_MD_15,FULLW,0,0
12_2,12_2_MD_16,FULLW,0,0
12_2,12_2_MD_17,FULLW,0,0
12_2,12_2_MD_18,FULLW,0,0
12_2,12_2_MD_19,FULLW,0,0
12_2,12_2_MD_2,FULLW,0,0
12_2,12_2_MD_20,FULLW,0,0
12_2,12_2_MD_21,FULLW,0,0
12_2,12_2_MD_22,FULLW,0,0
12_2,12_2_MD_23,FULLW,0,0
12_2,12_2_MD_24,FULLW,0,0
12_2,12_2_MD_25,FULLW,0,0
12_2,12_2_MD_26,FULLW,0,0
12_2,12_2_MD_27,FULLW,0,0
12_2,12_2_MD_28,FULLW,0,0
12_2,12_2_MD_29,FULLW,0,0
12_2,12_2_MD_3,FULLW,0,0
12_2,12_2_MD_30,FULLW,0,0
