shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2311483,47.228243,-1.561762,6992
2311483,47.228243,-1.561762,7001
2311483,47.225791,-1.559674,7002
2311483,47.225791,-1.559674,7011
2311483,47.222213,-1.556585,7012
2311483,47.222213,-1.556585,7021
2311483,47.221526,-1.556033,7022
2311483,47.221526,-1.556033,7031
2311483,47.219769,-1.555633,7032
2311483,47.219769,-1.555633,7041
2311483,47.218053,-1.557243,7042
2311483,47.218053,-1.557243,7051
2311483,47.216669,-1.556843,7052
2311483,47.216669,-1.556843,7061
2311483,47.215572,-1.560456,7062
2311483,47.215572,-1.560456,7071
2311483,47.214895,-1.564738,7072
2311483,47.214895,-1.564738,7081
2311483,47.214491,-1.568473,7082
2311483,47.214491,-1.568473,7091
2311483,47.214544,-1.572578,7092
2311483,47.214544,-1.572578,7101
2311483,47.213835,-1.574891,7102
2311483,47.213835,-1.574891,7111
2311483,47.211808,-1.576143,7112
2311483,47.211808,-1.576143,7121
2311483,47.212889,-1.581527,7122
2311483,47.212889,-1.581527,7131
2311483,47.214062,-1.587338,7132
2311483,47.214062,-1.587338,7141
2311483,47.213707,-1.589776,7142
2311483,47.213707,-1.589776,7151
2311483,47.216731,-1.592979,7152
2311483,47.216731,-1.592979,7161
2311483,47.216697,-1.599590,7162
2311483,47.216697,-1.599590,7171
2311483,47.218066,-1.603396,7172
2311483,47.218066,-1.603396,7181
2311483,47.218274,-1.608335,7182
2311483,47.218274,-1.608335,7191
2311483,47.217629,-1.611436,7192
2311483,47.217629,-1.611436,7201
2311483,47.216308,-1.613538,7202
2311483,47.216308,-1.613538,7211
2311483,47.214663,-1.615132,7212
2311483,47.214663,-1.615132,7221
2311483,47.211911,-1.617500,7222
2311483,47.211911,-1.617500,7231
2311483,47.209756,-1.614832,7232
2311483,47.209756,-1.614832,7241
2311483,47.208970,-1.611433,7242
2310484,47.221497,-1.555810,6572
2310484,47.221497,-1.555810,6581
2310484,47.222820,-1.556986,6582
2310484,47.222820,-1.556986,6591
2310484,47.225455,-1.559242,6592
2310484,47.225455,-1.559242,6601
2310484,47.227962,-1.561387,6602
2310484,47.227962,-1.561387,6611
2310484,47.230873,-1.563784,6612
2310484,47.230873,-1.563784,6621
2310484,47.232621,-1.565243,6622
2310484,47.232621,-1.565243,6631
2310484,47.233378,-1.559972,6632
2310484,47.233378,-1.559972,6641
2310484,47.234537,-1.557068,6642
2310484,47.234537,-1.557068,6651
2310484,47.233150,-1.555406,6652
2310484,47.233150,-1.555406,6661
2310484,47.234280,-1.552832,6662
2310484,47.234280,-1.552832,6671
2310484,47.235135,-1.549601,6672
2310484,47.235135,-1.549601,6681
2310484,47.235363,-1.547544,6682
2310484,47.235363,-1.547544,6691
2310484,47.238130,-1.544186,6692
2310484,47.238130,-1.544186,6701
2310484,47.240286,-1.542212,6702
2310484,47.240286,-1.542212,6711
2310484,47.241115,-1.538470,6712
2310484,47.241115,-1.538470,6721
2310484,47.243042,-1.534880,6722
2310484,47.243042,-1.534880,6731
2310484,47.243969,-1.536475,6732
2310484,47.243969,-1.536475,6741
2310484,47.248346,-1.536410,6742
2310484,47.248346,-1.536410,6751
2310484,47.250299,-1.536018,6752
2310484,47.250299,-1.536018,6761
2310484,47.250200,-1.530240,6762
2310484,47.250200,-1.530240,6771
2310484,47.252152,-1.529901,6772
2310484,47.252152,-1.529901,6781
2310484,47.251420,-1.526735,6782
2310484,47.251420,-1.526735,6791
2310484,47.248315,-1.522243,6792
311311,47.227006,-1.569419,47282
311311,47.227006,-1.569419,47291
311311,47.224090,-1.565217,47292
311311,47.224090,-1.565217,47301
311311,47.224090,-1.565217,47302
311311,47.221208,-1.562625,47311
311311,47.221208,-1.562625,47312
311311,47.221208,-1.562625,47321
311311,47.218362,-1.560060,47322
311311,47.218362,-1.560060,47331
311311,47.218362,-1.560060,47332
311311,47.217071,-1.558186,47341
311311,47.217071,-1.558186,47342
311311,47.217071,-1.558186,47351
311311,47.217071,-1.558186,47352
311311,47.214346,-1.555726,47361
311311,47.214346,-1.555726,47362
311311,47.214346,-1.555726,47371
311311,47.214346,-1.555726,47372
311311,47.211508,-1.552937,47381
311311,47.211508,-1.552937,47382
311311,47.211508,-1.552937,47391
311311,47.211508,-1.552937,47392
311311,47.208986,-1.550139,47401
311311,47.208986,-1.550139,47402
311311,47.208986,-1.550139,47411
311311,47.206344,-1.548209,47412
311311,47.206344,-1.548209,47421
311311,47.206344,-1.548209,47422
311311,47.203797,-1.546420,47431
311311,47.203797,-1.546420,47432
311311,47.203797,-1.546420,47441
311311,47.201576,-1.545025,47442
311311,47.201576,-1.545025,47451
311311,47.201576,-1.545025,47452
311311,47.196110,-1.543068,47461
311311,47.196110,-1.543068,47462
311311,47.196110,-1.543068,47471
311311,47.196110,-1.543068,47472
311311,47.191780,-1.548658,47481
311311,47.191780,-1.548658,47482
311311,47.191780,-1.548658,47491
311311,47.189276,-1.551683,47492
311311,47.189276,-1.551683,47501
311311,47.189276,-1.551683,47502
311311,47.186050,-1.554021,47511
311311,47.186050,-1.554021,47512
311311,47.186050,-1.554021,47521
311311,47.184812,-1.559761,47522
311311,47.184812,-1.559761,47531
311311,47.184812,-1.559761,47532
311311,47.184433,-1.562818,47541
311311,47.184433,-1.562818,47542
311311,47.184433,-1.562818,47551
311311,47.184433,-1.562818,47552
311311,47.183228,-1.570279,47561
311311,47.183228,-1.570279,47562
311311,47.183228,-1.570279,47571
311311,47.183228,-1.570279,47572
311311,47.181336,-1.579687,47581
311311,47.181336,-1.579687,47582
311311,47.181336,-1.579687,47591
311311,47.180692,-1.586688,47592
311311,47.180692,-1.586688,47601
311311,47.177249,-1.592962,47602
311312,47.227006,-1.569419,48222
311312,47.227006,-1.569419,48231
311312,47.224090,-1.565217,48232
311312,47.224090,-1.565217,48241
311312,47.224090,-1.565217,48242
311312,47.221208,-1.562625,48251
311312,47.221208,-1.562625,48252
311312,47.221208,-1.562625,48261
311312,47.218362,-1.560060,48262
311312,47.218362,-1.560060,48271
311312,47.218362,-1.560060,48272
311312,47.217071,-1.558186,48281
311312,47.217071,-1.558186,48282
311312,47.217071,-1.558186,48291
311312,47.217071,-1.558186,48292
311312,47.214346,-1.555726,48301
311312,47.214346,-1.555726,48302
311312,47.214346,-1.555726,48311
311312,47.214346,-1.555726,48312
311312,47.211508,-1.552937,48321
311312,47.211508,-1.552937,48322
310373,47.221551,-1.562794,47902
310373,47.221551,-1.562794,47911
310373,47.221551,-1.562794,47912
310373,47.224385,-1.565565,47921
310373,47.224385,-1.565565,47922
310373,47.224385,-1.565565,47931
310373,47.227319,-1.569762,47932
310373,47.227319,-1.569762,47941
310373,47.230102,-1.572943,47942
310373,47.230102,-1.572943,47951
310373,47.230102,-1.572943,47952
310373,47.232927,-1.577682,47961
310373,47.232927,-1.577682,47962
310373,47.232927,-1.577682,47971
310373,47.235117,-1.582562,47972
310373,47.235117,-1.582562,47981
310373,47.238295,-1.587266,47982
310373,47.238295,-1.587266,47991
310373,47.238295,-1.587266,47992
310373,47.240325,-1.591467,48001
310373,47.240325,-1.591467,48002
310373,47.240325,-1.591467,48011
310373,47.243414,-1.591507,48012
310373,47.243414,-1.591507,48021
310373,47.246207,-1.594045,48022
310373,47.246207,-1.594045,48031
310373,47.249381,-1.598001,48032
310373,47.249381,-1.598001,48041
310373,47.249381,-1.598001,48042
310373,47.246891,-1.603524,48051
310373,47.246891,-1.603524,48052
310373,47.246891,-1.603524,48061
310373,47.245588,-1.608903,48062
310373,47.245588,-1.608903,48071
310373,47.246035,-1.616510,48072
310380,47.221551,-1.562794,48402
310380,47.221551,-1.562794,48411
310380,47.221551,-1.562794,48412
310380,47.224385,-1.565565,48421
310380,47.224385,-1.565565,48422
310380,47.224385,-1.565565,48431
310380,47.227319,-1.569762,48432
310380,47.227319,-1.569762,48441
310380,47.230102,-1.572943,48442
310380,47.230102,-1.572943,48451
310380,47.230102,-1.572943,48452
310380,47.232927,-1.577682,48461
310380,47.232927,-1.577682,48462
310380,47.232927,-1.577682,48471
310380,47.235117,-1.582562,48472
310380,47.235117,-1.582562,48481
310380,47.238295,-1.587266,48482
310380,47.238295,-1.587266,48491
310380,47.238295,-1.587266,48492
310380,47.240325,-1.591467,48501
310380,47.240325,-1.591467,48502
310380,47.240325,-1.591467,48511
310380,47.243414,-1.591507,48512
310380,47.243414,-1.591507,48521
310380,47.246207,-1.594045,48522
310380,47.246207,-1.594045,48531
310380,47.249381,-1.598001,48532
310380,47.249381,-1.598001,48541
310380,47.249381,-1.598001,48542
310380,47.246891,-1.603524,48551
310380,47.246891,-1.603524,48552
310380,47.246891,-1.603524,48561
310380,47.245588,-1.608903,48562
310380,47.245588,-1.608903,48571
310380,47.246035,-1.616510,48572
1210669,47.228243,-1.561762,49042
1210669,47.228243,-1.561762,49051
1210669,47.225791,-1.559674,49052
1210669,47.225791,-1.559674,49061
1210669,47.222213,-1.556585,49062
1210669,47.222213,-1.556585,49071
1210669,47.221526,-1.556033,49072
1210669,47.221526,-1.556033,49081
1210669,47.219769,-1.555633,49082
1210669,47.219769,-1.555633,49091
1210669,47.218053,-1.557243,49092
1210669,47.218053,-1.557243,49101
1210669,47.217756,-1.554252,49102
1210669,47.217756,-1.554252,49111
1210669,47.218069,-1.551758,49112
1210669,47.218069,-1.551758,49121
1210669,47.218778,-1.550488,49122
1210669,47.218778,-1.550488,49131
1210669,47.220182,-1.546885,49132
1210669,47.220182,-1.546885,49141
1210669,47.221691,-1.542809,49142
