shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
1010117,15792,47.233639,-1.555515
1010117,15801,47.233639,-1.555515
1010117,15802,47.234512,-1.557390
1010117,15811,47.234512,-1.557390
1010117,15812,47.233466,-1.559914
1010117,15821,47.233466,-1.559914
1010117,15822,47.233143,-1.566308
1010117,15831,47.233143,-1.566308
1010117,15832,47.231976,-1.568249
1010117,15841,47.231976,-1.568249
1010148,4482,47.233639,-1.555515
1010148,4491,47.233639,-1.555515
1010148,4492,47.234512,-1.557390
1010148,4501,47.234512,-1.557390
1010148,4502,47.233466,-1.559914
1010148,4511,47.233466,-1.559914
1010148,4512,47.233143,-1.566308
1010148,4521,47.233143,-1.566308
1010148,4522,47.231976,-1.568249
1010148,4531,47.231976,-1.568249
1010151,16772,47.233639,-1.555515
1010151,16781,47.233639,-1.555515
1010151,16782,47.234512,-1.557390
1010151,16791,47.234512,-1.557390
1010151,16792,47.233466,-1.559914
1010151,16801,47.233466,-1.559914
1010151,16802,47.233143,-1.566308
1010151,16811,47.233143,-1.566308
1010151,16812,47.231976,-1.568249
1010151,16821,47.231976,-1.568249
1011149,4832,47.231470,-1.568891
1011149,4841,47.231470,-1.568891
1011149,4842,47.233078,-1.566055
1011149,4851,47.233078,-1.566055
1011149,4852,47.233378,-1.559972
1011149,4861,47.233378,-1.559972
1011149,4862,47.234537,-1.557068
1011149,4871,47.234537,-1.557068
1011149,4872,47.233150,-1.555406
1011149,4881,47.233150,-1.555406
1011150,14082,47.231470,-1.568891
1011150,14091,47.231470,-1.568891
1011150,14092,47.233078,-1.566055
1011150,14101,47.233078,-1.566055
1011150,14102,47.233378,-1.559972
1011150,14111,47.233378,-1.559972
1011150,14112,47.234537,-1.557068
1011150,14121,47.234537,-1.557068
1011150,14122,47.233150,-1.555406
1011150,14131,47.233150,-1.555406
1011152,16561,47.233378,-1.559972
1011152,16562,47.234537,-1.557068
1011152,16571,47.234537,-1.557068
1011152,16572,47.233150,-1.555406
1011152,16581,47.233150,-1.555406
1210669,49012,47.236079,-1.568262
1210669,49021,47.236079,-1.568262
1210669,49022,47.232475,-1.565289
1210669,49031,47.232475,-1.565289
1211670,48872,47.230873,-1.563784
1211670,48881,47.230873,-1.563784
1211670,48882,47.232621,-1.565243
1211670,48891,47.232621,-1.565243
1211670,48892,47.235797,-1.567891
1211670,48901,47.235797,-1.567891
1211670,48902,47.237980,-1.569856
1211670,48911,47.237980,-1.569856
210316,60402,47.231573,-1.556520
210316,60411,47.231573,-1.556520
210316,60412,47.231573,-1.556520
210316,60421,47.235359,-1.556531
210316,60422,47.235359,-1.556531
210316,60431,47.235359,-1.556531
210375,59582,47.231573,-1.556520
210375,59591,47.231573,-1.556520
210375,59592,47.231573,-1.556520
210375,59601,47.235359,-1.556531
210375,59602,47.235359,-1.556531
210375,59611,47.235359,-1.556531
210399,59142,47.231573,-1.556520
210399,59151,47.231573,-1.556520
210399,59152,47.231573,-1.556520
210399,59161,47.235359,-1.556531
210399,59162,47.235359,-1.556531
210399,59171,47.235359,-1.556531
210400,69312,47.231573,-1.556520
210400,69321,47.231573,-1.556520
210400,69322,47.231573,-1.556520
210400,69331,47.235359,-1.556531
210400,69332,47.235359,-1.556531
210400,69341,47.235359,-1.556531
210401,60022,47.231573,-1.556520
210401,60031,47.231573,-1.556520
210401,60032,47.231573,-1.556520
210401,60041,47.235359,-1.556531
210401,60042,47.235359,-1.556531
210401,60051,47.235359,-1.556531
211313,58712,47.234933,-1.556638
211313,58721,47.234933,-1.556638
211313,58722,47.234933,-1.556638
211313,58731,47.231220,-1.556543
211313,58732,47.231220,-1.556543
211313,58741,47.231220,-1.556543
211318,69082,47.234933,-1.556638
211318,69091,47.234933,-1.556638
211318,69092,47.234933,-1.556638
211318,69101,47.231220,-1.556543
211318,69102,47.231220,-1.556543
211318,69111,47.231220,-1.556543
211324,60632,47.234933,-1.556638
211324,60641,47.234933,-1.556638
211324,60642,47.234933,-1.556638
211324,60651,47.231220,-1.556543
211324,60652,47.231220,-1.556543
211324,60661,47.231220,-1.556543
211360,61472,47.234933,-1.556638
211360,61481,47.234933,-1.556638
211360,61482,47.234933,-1.556638
211360,61491,47.231220,-1.556543
211360,61492,47.231220,-1.556543
211360,61501,47.231220,-1.556543
211376,61022,47.234933,-1.556638
211376,61031,47.234933,-1.556638
211376,61032,47.234933,-1.556638
211376,61041,47.231220,-1.556543
211376,61042,47.231220,-1.556543
211376,61051,47.231220,-1.556543
2310484,6612,47.230873,-1.563784
2310484,6621,47.230873,-1.563784
2310484,6622,47.232621,-1.565243
2310484,6631,47.232621,-1.565243
2310484,6632,47.233378,-1.559972
2310484,6641,47.233378,-1.559972
2310484,6642,47.234537,-1.557068
2310484,6651,47.234537,-1.557068
2310484,6652,47.233150,-1.555406
2310484,6661,47.233150,-1.555406
2311483,6942,47.233639,-1.555515
2311483,6951,47.233639,-1.555515
2311483,6952,47.234512,-1.557390
2311483,6961,47.234512,-1.557390
2311483,6962,47.233466,-1.559914
2311483,6971,47.233466,-1.559914
2311483,6972,47.232475,-1.565289
2311483,6981,47.232475,-1.565289
2610472,63212,47.231205,-1.568655
2610472,63221,47.231205,-1.568655
2610472,63222,47.233078,-1.566055
2610472,63231,47.233078,-1.566055
2610472,63232,47.236339,-1.563269
2610472,63241,47.236339,-1.563269
2611473,62692,47.235829,-1.563437
2611473,62701,47.235829,-1.563437
2611473,62702,47.233143,-1.566308
2611473,62711,47.233143,-1.566308
2611473,62712,47.231976,-1.568249
2611473,62721,47.231976,-1.568249
C210836,52132,47.230873,-1.563784
C210836,52141,47.230873,-1.563784
C210836,52142,47.232621,-1.565243
C210836,52151,47.232621,-1.565243
C210836,52152,47.235797,-1.567891
C210836,52161,47.235797,-1.567891
C210836,52162,47.237980,-1.569856
C210836,52171,47.237980,-1.569856
C211828,51862,47.236079,-1.568262
C211828,51871,47.236079,-1.568262
C211828,51872,47.232475,-1.565289
C211828,51881,47.232475,-1.565289
NC103,76042,47.231542,-1.556397
NC103,76051,47.231542,-1.556397
NC103,76052,47.235424,-1.556447
NC103,76061,47.235424,-1.556447
NN1010,10992,47.231542,-1.556397
NN1010,11001,47.231542,-1.556397
NN1010,11002,47.235424,-1.556447
NN1010,11011,47.235424,-1.556447
NN1011,11442,47.231542,-1.556397
NN1011,11451,47.231542,-1.556397
NN1011,11452,47.235424,-1.556447
NN1011,11461,47.235424,-1.556447
NO104,54462,47.236079,-1.568262
NO104,54471,47.236079,-1.568262
NO104,54472,47.232475,-1.565289
NO104,54481,47.232475,-1.565289
NO105,54992,47.236079,-1.568262
NO105,55001,47.236079,-1.568262
NO105,55002,47.232475,-1.565289
NO105,55011,47.232475,-1.565289
