stop_id,stop_name,stop_lat,stop_lon
22A_1_S13,STOP_22A_1_S13,21.031067,105.817698
22A_1_S14,STOP_22A_1_S14,21.027199,105.811775
22A_1_S15,STOP_22A_1_S15,21.022450,105.809208
22A_1_S16,STOP_22A_1_S16,21.018455,105.806888
22A_2_S10,STOP_22A_2_S10,21.030943,105.818608
22A_2_S11,STOP_22A_2_S11,21.031589,105.822873
22A_2_S12,STOP_22A_2_S12,21.032516,105.829314
22A_2_S13,STOP_22A_2_S13,21.031366,105.833491
22A_2_S6,STOP_22A_2_S6,21.018450,105.807258
22A_2_S7,STOP_22A_2_S7,21.021702,105.809166
22A_2_S8,STOP_22A_2_S8,21.024087,105.810582
22A_2_S9,STOP_22A_2_S9,21.028454,105.812333
23_1_S13,STOP_23_1_S13,21.013250,105.822824
23_1_S14,STOP_23_1_S14,21.015233,105.824024
23_1_S15,STOP_23_1_S15,21.017766,105.823958
23_1_S16,STOP_23_1_S16,21.019683,105.824974
23_1_S17,STOP_23_1_S17,21.023128,105.821946
23_1_S18,STOP_23_1_S18,21.025900,105.822358
23_1_S19,STOP_23_1_S19,21.028349,105.825341
23_1_S20,STOP_23_1_S20,21.029399,105.830074
23_1_S21,STOP_23_1_S21,21.028516,105.832641
23_1_S22,STOP_23_1_S22,21.028866,105.834707
23_1_S23,STOP_23_1_S23,21.029783,105.838791
23_1_S24,STOP_23_1_S24,21.028611,105.842824
23_2_S14,STOP_23_2_S14,21.030733,105.842291
23_2_S15,STOP_23_2_S15,21.031283,105.839207
23_2_S16,STOP_23_2_S16,21.031252,105.835916
23_2_S17,STOP_23_2_S17,21.028845,105.832057
23_2_S18,STOP_23_2_S18,21.029516,105.829041
23_2_S19,STOP_23_2_S19,21.028666,105.825308
23_2_S20,STOP_23_2_S20,21.025083,105.820958
23_2_S21,STOP_23_2_S21,21.023150,105.821508
23_2_S22,STOP_23_2_S22,21.017816,105.823691
23_2_S23,STOP_23_2_S23,21.014966,105.823874
23_2_S24,STOP_23_2_S24,21.013350,105.822741
24_1_S22,STOP_24_1_S22,21.013357,105.807867
24_2_S6,STOP_24_2_S6,21.014300,105.806208
25_1_S19,STOP_25_1_S19,21.032666,105.808558
25_1_S20,STOP_25_1_S20,21.030943,105.818608
25_1_S21,STOP_25_1_S21,21.031589,105.822873
25_1_S22,STOP_25_1_S22,21.032537,105.829294
25_1_S23,STOP_25_1_S23,21.029399,105.830074
25_1_S24,STOP_25_1_S24,21.028516,105.832641
25_1_S25,STOP_25_1_S25,21.027449,105.833691
25_1_S26,STOP_25_1_S26,21.025033,105.832641
25_1_S27,STOP_25_1_S27,21.020243,105.830360
25_1_S28,STOP_25_1_S28,21.017133,105.830991
25_1_S29,STOP_25_1_S29,21.014883,105.833457
25_2_S10,STOP_25_2_S10,21.020210,105.830570
25_2_S11,STOP_25_2_S11,21.024203,105.832358
25_2_S12,STOP_25_2_S12,21.028845,105.832057
25_2_S13,STOP_25_2_S13,21.029516,105.829041
25_2_S14,STOP_25_2_S14,21.028666,105.825308
25_2_S15,STOP_25_2_S15,21.031067,105.817698
25_2_S16,STOP_25_2_S16,21.032454,105.810043
25_2_S8,STOP_25_2_S8,21.015266,105.833341
25_2_S9,STOP_25_2_S9,21.017218,105.831381
26_1_S16,STOP_26_1_S16,21.013350,105.819841
26_1_S17,STOP_26_1_S17,21.016316,105.815641
26_1_S18,STOP_26_1_S18,21.017266,105.814075
26_1_S19,STOP_26_1_S19,21.019750,105.808966
26_1_S20,STOP_26_1_S20,21.021702,105.809166
26_1_S21,STOP_26_1_S21,21.024087,105.810582
26_1_S22,STOP_26_1_S22,21.027616,105.809308
26_1_S23,STOP_26_1_S23,21.028699,105.805975
26_2_S11,STOP_26_2_S11,21.027876,105.808708
26_2_S12,STOP_26_2_S12,21.022450,105.809208
26_2_S13,STOP_26_2_S13,21.018455,105.806888
26_2_S14,STOP_26_2_S14,21.018450,105.807258
26_2_S15,STOP_26_2_S15,21.019433,105.809453
26_2_S16,STOP_26_2_S16,21.017483,105.813406
26_2_S17,STOP_26_2_S17,21.016050,105.815891
26_2_S18,STOP_26_2_S18,21.014766,105.817625
27_1_S25,STOP_27_1_S25,21.013357,105.807867
27_1_S26,STOP_27_1_S26,21.018450,105.807258
27_1_S27,STOP_27_1_S27,21.021702,105.809166
27_1_S28,STOP_27_1_S28,21.024087,105.810582
27_1_S29,STOP_27_1_S29,21.028454,105.812333
27_1_S30,STOP_27_1_S30,21.030224,105.810914
27_2_S10,STOP_27_2_S10,21.029673,105.808635
27_2_S11,STOP_27_2_S11,21.027199,105.811775
27_2_S12,STOP_27_2_S12,21.022450,105.809208
27_2_S13,STOP_27_2_S13,21.018455,105.806888
27_2_S14,STOP_27_2_S14,21.014300,105.806208
28_1_S10,STOP_28_1_S10,21.020572,105.826653
28_1_S11,STOP_28_1_S11,21.023128,105.821946
28_1_S12,STOP_28_1_S12,21.024966,105.819275
28_1_S13,STOP_28_1_S13,21.028966,105.817458
28_1_S14,STOP_28_1_S14,21.030224,105.810914
28_1_S8,STOP_28_1_S8,21.015266,105.833341
28_1_S9,STOP_28_1_S9,21.017218,105.831381
28_2_S16,STOP_28_2_S16,21.029673,105.808635
28_2_S17,STOP_28_2_S17,21.028133,105.817491
28_2_S18,STOP_28_2_S18,21.024416,105.819541
28_2_S19,STOP_28_2_S19,21.023150,105.821508
28_2_S20,STOP_28_2_S20,21.020267,105.826501
28_2_S21,STOP_28_2_S21,21.017133,105.830991
28_2_S22,STOP_28_2_S22,21.014883,105.833457
30_1_S12,STOP_30_1_S12,21.019377,105.837823
30_1_S13,STOP_30_1_S13,21.019613,105.833925
30_1_S14,STOP_30_1_S14,21.020572,105.826653
30_1_S15,STOP_30_1_S15,21.017816,105.823691
30_1_S16,STOP_30_1_S16,21.015366,105.819591
30_1_S17,STOP_30_1_S17,21.016316,105.815641
30_1_S18,STOP_30_1_S18,21.013533,105.812525
30_2_S13,STOP_30_2_S13,21.014483,105.813425
30_2_S14,STOP_30_2_S14,21.016050,105.815891
30_2_S15,STOP_30_2_S15,21.014766,105.817625
30_2_S16,STOP_30_2_S16,21.016066,105.820724
30_2_S17,STOP_30_2_S17,21.017766,105.823958
30_2_S18,STOP_30_2_S18,21.019683,105.824974
30_2_S19,STOP_30_2_S19,21.020267,105.826501
30_2_S20,STOP_30_2_S20,21.019537,105.833231
30_2_S21,STOP_30_2_S21,21.019183,105.838374
32_1_S11,STOP_32_1_S11,21.029699,105.842224
32_1_S12,STOP_32_1_S12,21.031283,105.839207
32_1_S13,STOP_32_1_S13,21.031933,105.835624
32_1_S14,STOP_32_1_S14,21.032949,105.829158
32_1_S15,STOP_32_1_S15,21.031949,105.823874
32_1_S16,STOP_32_1_S16,21.031067,105.817698
