route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,peak_offpeak,boarding_type
line:61,1900269,27_1197669,Balma-Gramont,0,11970,0,0
line:61,1900270,27_1197670,Balma-Gramont,0,11970,0,0
line:61,1900271,27_1197671,Balma-Gramont,0,11970,0,0
line:61,1900272,27_1197672,Balma-Gramont,0,11970,0,0
line:61,1900273,27_1197673,Balma-Gramont,0,11970,0,0
line:61,1900274,27_1197674,Balma-Gramont,0,11970,0,0
line:61,1900275,27_1197675,Balma-Gramont,0,11970,0,0
line:61,1900276,27_1197676,Balma-Gramont,0,11970,0,0
line:61,1900277,27_1197677,Balma-Gramont,0,11970,0,0
line:61,1900279,27_1197679,Balma-Gramont,0,11970,0,0
line:61,1900280,27_1197680,Balma-Gramont,0,11970,0,0
line:61,1900281,27_1197681,Balma-Gramont,0,11970,0,0
line:61,1900282,27_1197682,Balma-Gramont,0,11970,0,0
line:61,1900283,27_1197683,Balma-Gramont,0,11970,0,0
line:61,1900284,27_1197684,Balma-Gramont,0,11970,0,0
line:61,1900285,27_1197685,Balma-Gramont,0,11970,0,0
line:61,1900286,27_1197686,Balma-Gramont,0,11970,0,0
line:61,1900287,27_1197687,Balma-Gramont,0,11970,0,0
line:61,1900288,27_1197688,Balma-Gramont,0,11970,0,0
line:61,1900289,27_1197689,Balma-Gramont,0,11970,0,0
line:61,1900290,27_1197690,Balma-Gramont,0,11970,0,0
line:61,1900291,27_1197691,Balma-Gramont,0,11970,0,0
line:61,1900292,27_1197692,Balma-Gramont,0,11970,0,0
line:61,1900293,27_1197693,Balma-Gramont,0,11970,0,0
line:61,1900294,27_1197694,Balma-Gramont,0,11970,0,0
line:61,1900295,27_1197695,Balma-Gramont,0,11970,0,0
line:61,1900296,27_1197696,Balma-Gramont,0,11970,0,0
line:61,1900297,27_1197697,Balma-Gramont,0,11970,0,0
line:61,1900298,27_1197698,Balma-Gramont,0,11970,0,0
line:61,1900299,27_1197699,Balma-Gramont,0,11970,0,0
line:61,1900300,27_1197700,Balma-Gramont,0,11970,0,0
line:61,1900301,27_1197701,Balma-Gramont,0,11970,0,0
line:61,1900302,27_1197702,Balma-Gramont,0,11970,0,0
line:61,1900303,27_1197703,Balma-Gramont,0,11970,0,0
line:61,1900304,27_1197704,Balma-Gramont,0,11970,0,0
line:61,1900305,27_1197705,Balma-Gramont,0,11970,0,0
line:61,1900306,27_1197706,Balma-Gramont,0,11970,0,0
line:61,1900307,27_1197707,Balma-Gramont,0,11970,0,0
line:61,1900308,27_1197708,Balma-Gramont,0,11970,0,0
line:61,1900310,27_1197710,Balma-Gramont,0,11970,0,0
line:61,1900311,27_1197711,Balma-Gramont,0,11970,0,0
line:61,1900312,27_1197712,Balma-Gramont,0,11970,0,0
line:61,1900314,27_1197714,Balma-Gramont,0,11970,0,0
line:61,1900315,27_1197715,Balma-Gramont,0,11970,0,0
line:61,1900316,27_1197716,Balma-Gramont,0,11970,0,0
line:61,1900317,27_1197717,Balma-Gramont,0,11970,0,0
line:61,1900318,27_1197718,Balma-Gramont,0,11970,0,0
line:61,1900319,27_1197719,Balma-Gramont,0,11970,0,0
line:61,1900320,27_1197720,Balma-Gramont,0,11970,0,0
line:61,1900321,27_1197721,Balma-Gramont,0,11970,0,0
line:61,1900322,27_1197722,Balma-Gramont,0,11970,0,0
line:61,1900323,27_1197723,Balma-Gramont,0,11970,0,0
line:61,1900324,27_1197724,Balma-Gramont,0,11970,0,0
line:61,1900325,27_1197725,Balma-Gramont,0,11970,0,0
line:61,1900326,27_1197726,Balma-Gramont,0,11970,0,0
line:61,1900327,27_1197727,Balma-Gramont,0,11970,0,0
line:61,1900328,27_1197728,Balma-Gramont,0,11970,0,0
line:61,1900329,27_1197729,Balma-Gramont,0,11970,0,0
line:61,1900330,27_1197730,Balma-Gramont,0,11970,0,0
line:61,1900331,27_1197731,Balma-Gramont,0,11970,0,0
line:61,1900332,27_1197732,Balma-Gramont,0,11970,0,0
line:61,1900333,27_1197733,Balma-Gramont,0,11970,0,0
line:61,1900334,27_1197734,Balma-Gramont,0,11970,0,0
line:61,1900335,27_1197735,Balma-Gramont,0,11970,0,0
line:61,1900336,27_1197736,Balma-Gramont,0,11970,0,0
line:61,1900337,27_1197737,Balma-Gramont,0,11970,0,0
line:61,1900339,27_1197739,Balma-Gramont,0,11970,0,0
line:61,1900343,27_1197743,Balma-Gramont,0,11970,0,0
line:61,1900344,27_1197744,Balma-Gramont,0,11970,0,0
line:61,1900345,27_1197745,Balma-Gramont,0,11970,0,0
line:61,1900346,27_1197746,Balma-Gramont,0,11970,0,0
line:61,1900347,27_1197747,Balma-Gramont,0,11970,0,0
line:61,1900348,27_1197748,Balma-Gramont,0,11970,0,0
line:61,1900349,27_1197749,Balma-Gramont,0,11970,0,0
line:61,1900350,27_1197750,Balma-Gramont,0,11970,0,0
line:61,1900351,27_1197751,Balma-Gramont,0,11970,0,0
line:61,1900352,27_1197752,Balma-Gramont,0,11970,0,0
line:61,1900353,27_1197753,Balma-Gramont,0,11970,0,0
line:61,1900354,27_1197754,Balma-Gramont,0,11970,0,0
line:61,1900355,27_1197755,Balma-Gramont,0,11970,0,0
line:61,1900356,27_1197756,Balma-Gramont,0,11970,0,0
line:61,1900357,27_1197757,Balma-Gramont,0,11970,0,0
line:61,1900358,27_1197758,Balma-Gramont,0,11970,0,0
line:61,1900359,27_1197759,Balma-Gramont,0,11970,0,0
line:61,1900360,27_1197760,Balma-Gramont,0,11970,0,0
line:61,1900361,27_1197761,Balma-Gramont,0,11970,0,0
line:61,1900362,27_1197762,Balma-Gramont,0,11970,0,0
line:61,1900363,27_1197763,Balma-Gramont,0,11970,0,0
line:61,1900364,27_1197764,Balma-Gramont,0,11970,0,0
line:61,1900365,27_1197765,Balma-Gramont,0,11970,0,0
line:61,1900366,27_1197766,Balma-Gramont,0,11970,0,0
line:61,1900367,27_1197767,Balma-Gramont,0,11970,0,0
line:61,1900368,27_1197768,Balma-Gramont,0,11970,0,0
line:61,1900369,27_1197769,Balma-Gramont,0,11970,0,0
line:61,1900370,27_1197770,Balma-Gramont,0,11970,0,0
line:61,1900371,27_1197771,Balma-Gramont,0,11970,0,0
line:61,1900372,27_1197772,Balma-Gramont,0,11970,0,0
